Date,A0,D1,D2,D3
2018-07-05,1999.437839698482,-385.31305433731643,2.704952056691525,2.0733696260363956
2018-07-06,1999.437839698482,-385.31305433731643,-18.114712400998513,0.2694990297924278
2018-07-09,1999.437839698482,-385.31305433731643,-6.616962248109587,0.5413881020833458
2018-07-10,1999.437839698482,-385.31305433731643,3.0936464358504168,1.8919714255996212
2018-07-11,1999.437839698482,-385.31305433731643,6.854210982766801,-3.6366579337074256
2018-07-12,1999.437839698482,-385.31305433731643,-18.88082664969906,-3.628903683048776
2018-07-13,1999.437839698482,-385.31305433731643,-22.307966013186643,0.7717653303561178
2018-07-16,1999.437839698482,-385.31305433731643,8.298591320743043,13.258883829138512
2018-07-17,1999.437839698482,-385.31305433731643,10.672417643055098,2.848050447099695
2018-07-18,1999.437839698482,-385.31305433731643,10.795020638303555,-4.9823117781976975
2018-07-19,1999.437839698482,-385.31305433731643,1.6775718542347136,-0.3889137524816988
2018-07-20,1999.437839698482,-385.31305433731643,8.675641949891599,0.12420561537490471
2018-07-23,1999.437839698482,-385.31305433731643,-6.417559579648838,-5.81124080641186
2018-07-24,1999.437839698482,-385.31305433731643,12.313642409897938,-0.6684801397538251
2018-07-25,1999.437839698482,-385.31305433731643,-1.1833665943903782,16.828769614944974
2018-07-26,1999.437839698482,-385.31305433731643,6.5358010781541225,-9.577793092223885
2018-07-27,1999.437839698482,-385.31305433731643,-7.747994466184792,0.3021452923916286
2018-07-30,1999.437839698482,-385.31305433731643,25.969007825706285,-4.116089366695945
2018-07-31,1999.437839698482,-385.31305433731643,15.127558736466739,1.1261831098544235
2018-08-01,1999.437839698482,-385.31305433731643,4.866534765487955,0.37486498932875634
2018-08-02,1999.437839698482,-385.31305433731643,7.212925391076055,-1.6553361850460249
2018-08-03,1999.437839698482,-385.31305433731643,12.294232599159102,4.565347022007302
2018-08-06,1999.437839698482,-385.31305433731643,8.591711387380712,-1.5520151409131984
2018-08-07,1999.437839698482,-385.31305433731643,-2.1569935344559497,9.414774626341455
2018-08-08,1999.437839698482,-385.31305433731643,-1.4818410828658557,4.7616719766935205
2018-08-09,1999.437839698482,-385.31305433731643,30.849233539197485,4.042360688267365
2018-08-10,1999.437839698482,-385.31305433731643,-4.2181684199982215,5.51280409203639
